image_path,user_id,vehicle_location,user_location,label
data\face\lfw-deepfunneled/Kamal_Kharrazi/Kamal_Kharrazi_0006.jpg,864,40.74892586393336;-73.96780538631933,40.713813266813375;-74.0066364382911,0
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0017.jpg,532,40.71057132416764;-74.00683763055414,40.75809617276236;-73.98456984497389,0
data\face\lfw-deepfunneled/Carolina_Kluft/Carolina_Kluft_0002.jpg,237,40.74894185290791;-73.96816995801501,40.74901030568898;-73.96813703739514,1
data\face\lfw-deepfunneled/William_Macy/William_Macy_0004.jpg,1649,40.74834153747302;-73.96548436128828,40.74836272615405;-73.96556611274666,1
data\face\lfw-deepfunneled/Joe_Lieberman/Joe_Lieberman_0012.jpg,762,40.903751607049315;-73.91847211785262,40.903685469896246;-73.91864391079508,1
data\face\lfw-deepfunneled/Ken_Macha/Ken_Macha_0002.jpg,883,40.75961202339095;-73.98664336965432,40.75960470576255;-73.9867687616616,1
data\face\lfw-deepfunneled/Silvia_Farina_Elia/Silvia_Farina_Elia_0001.jpg,1490,40.74657143380762;-73.96681655496715,40.75365122064383;-73.98537466392564,0
data\face\lfw-deepfunneled/Jolanta_Kwasniewski/Jolanta_Kwasniewski_0001.jpg,812,40.75902437261496;-73.9856609196335,40.84694034435416;-73.76947558890241,0
data\face\lfw-deepfunneled/Jean_Chretien/Jean_Chretien_0003.jpg,710,40.7476192906921;-73.96883127792975,40.74772685647209;-73.96892252701701,1
data\face\lfw-deepfunneled/Cherie_Blair/Cherie_Blair_0001.jpg,269,40.712805102044335;-74.00615769504836,40.57425871212856;-74.05161938090957,0
data\face\lfw-deepfunneled/Hugh_Grant/Hugh_Grant_0003.jpg,629,40.74887664917468;-73.9680583424402,40.71094454319313;-74.00579655198683,0
data\face\lfw-deepfunneled/Rich_Gannon/Rich_Gannon_0002.jpg,1338,40.71211057248748;-74.00595450088137,40.712044815512805;-74.00595663325498,1
data\face\lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0065.jpg,111,40.7558165412648;-73.9859211537076,40.75578633960836;-73.98601295386881,1
data\face\lfw-deepfunneled/Vladimir_Putin/Vladimir_Putin_0035.jpg,1628,40.73856488369784;-74.03142567640069,40.7584339579619;-73.98564092390143,0
data\face\lfw-deepfunneled/Hugo_Chavez/Hugo_Chavez_0029.jpg,630,40.65953748616036;-73.83969240295781,40.758776322734064;-73.98544715987626,0
data\face\lfw-deepfunneled/Dominique_de_Villepin/Dominique_de_Villepin_0008.jpg,386,40.71277737620436;-74.0060283774548,40.71272832379002;-74.00618803702893,1
data\face\lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0002.jpg,5,40.748925984245155;-73.96826679325864,40.7489787796976;-73.96827454195083,1
data\face\lfw-deepfunneled/Vicente_Fox/Vicente_Fox_0020.jpg,1616,40.75821196690954;-73.98537983429543,40.75806506038543;-73.98546808257656,1
data\face\lfw-deepfunneled/David_Beckham/David_Beckham_0011.jpg,338,40.71279763769738;-74.00607636435004,40.75826841086158;-73.98548726240092,0
data\face\lfw-deepfunneled/Sachiko_Yamada/Sachiko_Yamada_0003.jpg,1433,40.71276366552363;-74.00590349300666,40.75823547546407;-73.98548077989619,0
data\face\lfw-deepfunneled/Vicente_Fox/Vicente_Fox_0002.jpg,1616,40.75780289386466;-73.98763923212736,40.757725414005705;-73.98748858429167,1
data\face\lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0093.jpg,537,40.713236465679465;-74.00221338165181,40.7131828679068;-74.00226050072385,1
data\face\lfw-deepfunneled/Tony_Blair/Tony_Blair_0029.jpg,1588,40.71265781420024;-74.00632394549059,40.74610168234838;-73.96645701843082,0
data\face\lfw-deepfunneled/George_W_Bush/George_W_Bush_0316.jpg,532,40.75690030507526;-73.98670384287938,40.75694115415808;-73.98673633441791,1
data\face\lfw-deepfunneled/Marcelo_Rios/Marcelo_Rios_0003.jpg,1015,40.71275747017137;-74.00572745582672,40.75608773176453;-73.98577737124614,0
data\face\lfw-deepfunneled/Hitomi_Soga/Hitomi_Soga_0002.jpg,620,40.68181634824658;-73.98107101149603,40.68177907767415;-73.9811084436173,1
data\face\lfw-deepfunneled/Hipolito_Mejia/Hipolito_Mejia_0001.jpg,618,40.750766008956404;-73.9699051888821,40.75061348968181;-73.96968123354829,1
data\face\lfw-deepfunneled/Catherine_Zeta-Jones/Catherine_Zeta-Jones_0002.jpg,246,40.757902537817166;-73.98584953458888,40.74704975362408;-73.97023445613216,0
data\face\lfw-deepfunneled/Liu_Mingkang/Liu_Mingkang_0001.jpg,978,40.75625689864548;-73.98495241223014,40.712794741407;-74.00634249854836,0
data\face\lfw-deepfunneled/Roman_Polanski/Roman_Polanski_0005.jpg,1410,40.749735219385045;-73.9686871498799,40.749621354278325;-73.96863970262923,1
data\face\lfw-deepfunneled/Chok_Tong_Goh/Chok_Tong_Goh_0002.jpg,273,40.712427756532804;-74.00480300258012,40.71241380141668;-74.00488948877307,1
data\face\lfw-deepfunneled/Flor_Montulo/Flor_Montulo_0001.jpg,478,40.71125524453211;-74.00548901758536,40.71126613446666;-74.00570860788548,1
